text
"Sir, I have a pending debt of five lakhs with the cooperative.."
"Hello, My 10 decimals produces Safflower, which earns me 1,20,000 per year annually."
"Actually, The fertilizer shop was closed today. immediately."
"Sir, Transportation costs have gone up significantly. right now."
"Basically, We are waiting for the monsoon to arrive.."
"To be honest, With a family of 3 generations living together, we are struggling as a seasonal income household.??"
"Actually, My application was rejected because I am not considered sufficient income. please."
"Sir, Is there a subsidy available for Open well? immediately."
"Basically, Is there any special subsidy on Knapsack Sprayer for middle income households?."
"Basically, My total annual earnings from agriculture are 1 lakh per annum. right now."
"Hello, By the end of Chaitra, the Gram will be ready for harvest.."
"Hello, This season has been very difficult for us.??"
"Actually, I need to buy some seeds from the local shop.."
"Basically, Is there any special subsidy on Happy Seeder for household income of 2 lakhs households? right now."
"Sir, With 4500 per month income, can I afford Growth Promoter and Holstein Friesian?"
"Hello, My request is regarding the Gobar-Dhan Yojana application. immediately."
"Hello, Agriculture is the backbone of our economy."
Please tell me the procedure to meet the officer.??
"Basically, I declared Rs. 15000 pm on my income certificate. please."
"Basically, The field needs to be plowed before the rains.."
"Sir, This season has been very difficult for us. immediately."
"To be honest, I need 1.5 lakhs from Union Bank of India to buy Mini Tractor for my Canal irrigated farm. please."
"Basically, My son is studying in the city college.??"
"Hello, The fertilizer shop was closed today."
"Actually, I went to the bank to update my passbook.??"
"Basically, Since I fall under the meager income group, I cannot pay high interest. right now."
"Sir, Since I fall under the family income of 1 lakh group, I cannot pay high interest. please."
"To be honest, We need better electricity supply during the day."
"Basically, My son is studying in the city college.."
"To be honest, Farming is hard work but it is honest work. right now."
"To be honest, Please process my flood relief as soon as possible. please."
"Hello, Thank you for your help yesterday. right now."
"Sir, The cooperative society meeting is at noon. immediately."
"Sir, My Murrah Buffalo and Prawns require a loan of 2k.."
"To be honest, As a Housewife farmer, I face unique challenges in Lalpur.."
"Actually, I grow Finger Millet and Cloves on my 2 acres of Barren land.??"
"A loan of Rs. 10,000 is being processed by the Odisha Gramya Bank.."
"To be honest, This season has been very difficult for us.??"
"Actually, We use Certified Seeds and Starter for farming Bajra in the Phalguna. right now."
"Basically, I want to ask about the interest rates. immediately."
"Basically, Into the Yes Bank account, the 25,000 per month was deposited. please."
"While Amma manages the accounts, I handle the Turkeys. immediately."
"Hello, I possess a valid card proving my below poverty line status. please."
"Actually, Does the bank offer lower interest rates for meager income applicants?."
"To be honest, Should the bank approve my loan of 15 lakhs, I will buy a Seedlings.??"
"Actually, Is the office open on Saturdays? please."
"Hello, Agriculture is the backbone of our economy."
"Actually, The fertilizer shop was closed today.??"
"To be honest, I require a Plastic Sheet to manage the harvest efficiently. immediately."
"Hello, The soil is very dry this year.."
"Actually, Prices for Fish are high in the local market.??"
"Basically, I need to buy some seeds from the local shop. immediately."
"Sir, We use Shade Net and Single Super Phosphate for farming Banana in the Rabi season."
"Hello, Who is the current sarpanch of this area? immediately."
"Basically, I am the head of a large number of dependents in Sohna.."
"Actually, My 5 killas produces Carrot, which earns me Rs. 15000 pm annually.??"
"Sir, The UGB sanctioned 1,60,000 for Godown purchase.??"
"Sir, My son is studying in the city college. please."
"To be honest, As a Gentleman farmer, I face unique challenges in Khurdha. right now."
"To be honest, The animals are grazing in the open field. immediately."
"Hello, We are a 4 adults and 2 children living in a small house.."
"Sir, We use Monoblock Pump and Zinc for farming Sorghum in the June-July."
"Sir, Transportation costs have gone up significantly. right now."
"Hello, The Diggi Scheme was applied for by my father last month. right now."
We use JCB and Bio-fertilizer for farming Jackfruit in the Early Kharif. immediately.
"Hello, I am the head of a 3 people in Plassey. please."
"Basically, We need better electricity supply during the day.??"
My Sirohi shed needs repair before the Wheat season starts.??
"Actually, Thank you for your help yesterday.??"
"Sir, I grow Arhar and Lemon on my 10 kanals of Well irrigated land. right now."
Hot season farming of Bhindi requires Tissue Culture Plants and reliable irrigation. immediately.
"Sir, My Holstein Friesian and Rohu require a loan of 2,00,000. right now."
"Hello, My Layers and Catla require a loan of Rupees fifty thousand. please."
"Sir, We need better electricity supply during the day. please."
"To be honest, My family is classified as small farmer income in the government records. please."
"Basically, Is the office open on Saturdays?."
"To be honest, Nalini from Tigiria applied for PKVY and Krishak Bandhu. right now."
"Basically, The National Agriculture Market was applied for by my father last month. immediately."
"To be honest, Prices for Crabs are high in the local market. immediately."
"Basically, The PM Kisan Yojana was applied for by my father last month. please."
"Actually, As a seasonal income farmer, am I eligible for the NLM???"
"Hello, Transportation costs have gone up significantly. please."
"Actually, I have attached my below poverty line certificate with the application.."
"Sir, Transportation costs have gone up significantly. right now."
"Actually, As a Lady farmer, I face unique challenges in Nimapara. right now."
"By the end of October-November, the Cardamom will be ready for harvest."
"Actually, My Chickens shed needs repair before the Cutting time starts.??"
"Sir, The fertilizer shop was closed today.."
"Hello, The cooperative society meeting is at noon. please."
"Hello, I went to the bank to update my passbook.."
"Sir, I need to withdraw money for household expenses.."
We use Power Sprayer and Weedicides for farming Peas in the Magh. right now.
"To be honest, We are waiting for the monsoon to arrive.."
"Actually, Under the General Category category, my application was accepted. right now."
"Actually, Does the bank offer lower interest rates for seasonal income applicants?"
"Basically, The installments for the 95,000 loan are becoming a burden. right now."
"To be honest, Transportation costs have gone up significantly.."
"Hello, Is there any special subsidy on Mulching Sheet for daily wage earner households? please."
"Actually, With 5,000 per month income, can I afford Foundation Seeds and Vanaraja???"
"To be honest, I will come back next week to check. immediately."
"Sir, With a family of 10 members, we are struggling as a average income household.??"
"Basically, Government benefits for household income of 2 lakhs families have not reached me yet. please."
"Sir, The weather has been very unpredictable lately. immediately."
"Actually, The village meeting is scheduled for next week. please."
"To be honest, My total annual earnings from agriculture are 1,80,000 per year. please."
I need to go to the market tomorrow morning.??
"Basically, I declared 8,000 per month on my income certificate. right now."
"Hello, I belong to the high income category and need financial help.??"
"To be honest, A loan of 12,00,000 is being processed by the ESAF Small Finance Bank. immediately."
"Actually, The fertilizer shop was closed today.."
"Hello, I need a loan to buy more Buffaloes. immediately."
"To be honest, To improve my Mustard yield, I need a Sprinkler Set through the Drip Irrigation Subsidy. please."
"Basically, Given that my income is 96,000 per year, I qualify for the Divyang quota."
"Hello, Ali from Pipili applied for Mandi Scheme and PM Kisan Yojana.."
"Sir, We are waiting for the monsoon to arrive. immediately."
"To be honest, I possess a valid card proving my BPL status. immediately."
"Actually, This season has been very difficult for us. right now."
"Sir, Can you help me fill out this form? immediately."
"To improve my Sesame yield, I need a Fodder Cutter through the e-NAM.."
"Basically, Is a family income of 1 lakh per annum eligible for this waiver? right now."
"Actually, As a BPL farmer, am I eligible for the Krishak Bandhu? please."
"Sir, The Red Sindhi need vaccination urgently. right now."
"Basically, My application was rejected due to missing documents.??"
"Sir, The cooperative society meeting is at noon."
"Hello, The Pashu Dhan Bima Yojana is exclusively for seasonal income farmers. right now."
We are a 3 people living in a small house.??
"Basically, The soil is very dry this year."
"Basically, Chaitra farming of Tea requires Paddy Seeds and reliable irrigation.."
"Actually, Agriculture is the backbone of our economy. immediately."
"Hello, Is a family income of Rs. 15000 pm eligible for this waiver???"
"Basically, I will come back next week to check."
"Basically, We are a no regular income family living in Sultanpur.??"
"Actually, Please tell me the procedure to meet the officer.??"
"Hello, The fertilizer shop was closed today.??"
"Sir, My family is classified as sufficient income in the government records. right now."
"To be honest, The road to the farm is in bad condition. immediately."
"Basically, The Silkworms shed was damaged in the storm.."
"Hello, I want to register for interest rebate under the new guidelines. please."
"Actually, The weather has been very unpredictable lately. right now."
"To be honest, I have attached my meager income certificate with the application. immediately."
"Basically, Can you help me fill out this form? immediately."
My family is classified as average income in the government records.??
"Actually, To improve my Tur Dal yield, I need a Plastic Crates through the Fencing Subsidy. please."
"To be honest, Agriculture is the backbone of our economy.."
"Hello, Is a family income of 50,000 yearly eligible for this waiver? immediately."
"Actually, Does the bank offer lower interest rates for small farmer income applicants???"
"My 1 guntha produces Bamboo, which earns me 2,000 per month annually. please."
"To be honest, Can I get a subsidy for Diesel Pump if I own quarter acre? right now."
"Basically, To improve my Paddy yield, I need a Compost through the Pradhan Mantri Krishi Sinchai Yojana.."
"Sir, Is the office open on Saturdays?"
"To be honest, My son is studying in the city college. immediately."
"To be honest, My total annual earnings from agriculture are Rs. 10000 pm. right now."
"Hello, The bus service to the town is irregular.."
"Sir, We use Barbed Wire Fencing and Thresher for farming Ginger in the Zaid season.??"
"Basically, Is Vannamei covered under the insurance scheme? right now."
"Basically, My Heifers shed needs repair before the Late Kharif starts.."
"To be honest, This season has been very difficult for us.."
"Actually, Does the Pradhan Mantri Matsya Sampada Yojana cover both Horse Gram and Spinach damages? please."
"Sir, I have an account in the local branch. immediately."
I want to ask about the interest rates. please.
"To be honest, This season has been very difficult for us.."
"From Chapparchiri, Rao has requested a meeting. immediately."
"Basically, I have attached my average income certificate with the application.."
"Actually, Who is the current sarpanch of this area? please."
"Hello, My 5 guntas produces Tobacco, which earns me 90,000 per year annually. immediately."
"Actually, The road to the farm is in bad condition.."
"Hello, By the end of Ashadh, the Soybean will be ready for harvest. please."
"Sir, Is there any government help available for us???"
"Actually, With 4 lakhs per year income, can I afford High Yielding Variety Seeds and Apiary?"
"Sir, I have attached my economically weaker section certificate with the application. please."
"Hello, I am repaying the 150000 borrowed for my tractor.??"
"Actually, I grow Safflower and Coriander on my 5 kunchams of Nanjai land.??"
"Hello, I will come back next week to check. right now."
"To be honest, I sell milk from my Surti Buffalo to the dairy.."
"To be honest, Can I get a subsidy for MOP if I own 2 hectares?"
"Sir, I need to go to the market tomorrow morning. please."
"Sir, I need to buy some seeds from the local shop.??"
"Sir, Imran from Ajrakhpur applied for Bhoomiheen Kisan Loan and Rythu Bandhu. immediately."
"Hello, To improve my Eggplant yield, I need a Fodder Cutter through the NLM. please."
"Hello, To improve my Cardamom yield, I need a Plastic Crates through the National Agriculture Market. right now."
"Sir, Since I fall under the household income of 2 lakhs group, I cannot pay high interest.."
"Actually, I need to withdraw money for household expenses. immediately."
"Basically, Thank you for your help yesterday. right now."
"Actually, Is there any special subsidy on Excavator for economically weaker section households?."
"To be honest, Is the office open on Saturdays? please."
"Sir, I am repaying the 49,000 borrowed for my tractor.??"
"Hello, Government benefits for small farmer income families have not reached me yet."
The road to the farm is in bad condition. immediately.
"To be honest, I am planning to start Rohu farming.??"
"To be honest, I will come back next week to check. please."
"Basically, Water scarcity is a major issue in our village. right now."
"Hello, This season has been very difficult for us. immediately."
"Basically, The road to the farm is in bad condition.??"
"Basically, We usually harvest in the early morning. please."
"Actually, I belong to the sufficient income category and need financial help. right now."
"To be honest, I declared 2.5 lakhs per year on my income certificate.."
The soil is very dry this year. immediately.
"Sir, The animals are grazing in the open field. please."
I have attached my middle income certificate with the application.??
"Sir, I possess a valid card proving my BPL status.."
"Basically, My 1 dhur produces Lemon, which earns me 2 lakhs per annum annually. right now."
"Actually, Thank you for your help yesterday.."
"Sir, Agriculture is the backbone of our economy."
"To be honest, I have a pending debt of 90 thousand with the cooperative. right now."
"Basically, My Calves shed needs repair before the Kartik starts. immediately."
"Hello, Dry season farming of Wheat requires Fencing and reliable irrigation."
"Hello, I need quarter lakh from NABARD to buy Sugarcane Harvester for my Banjar farm. immediately."
"Sir, Agriculture is the backbone of our economy.??"
Farming is hard work but it is honest work.??
"Actually, My total annual earnings from agriculture are 15k per month. please."
"Hello, To improve my Lentils yield, I need a Power Tiller through the Zero Interest Loan. right now."
"Basically, Can you check the status of my enrollment? please."
"To be honest, While Yasmin manages the accounts, I handle the Black Bengal. immediately."
"Actually, Thank you for your help yesterday.."
"Sir, With 10k per month income, can I afford Potato Planter and Egg laying birds???"
"Actually, The bus service to the town is irregular. right now."
"Basically, Buck rearing is considered profitable by many here.."
"Sir, I will come back next week to check."
"Actually, Since I fall under the no regular income group, I cannot pay high interest.."
"Hello, Can Bank of India provide a top-up on my existing five thousand? immediately."
"Hello, Should the bank approve my loan of 20 lakhs, I will buy a Seedlings.??"
"Basically, Transportation costs have gone up significantly. right now."
"Basically, The bus service to the town is irregular.??"
"To be honest, We are a 5 dependents living in a small house. please."
"My 1 guntha produces Urad Dal, which earns me 4500 per month annually. immediately."
"Actually, The cooperative society meeting is at noon. right now."
"To be honest, My total annual earnings from agriculture are 1,20,000 per year. immediately."
"Basically, Does the Kisan Credit Card Scheme cover both Horse Gram and Fennel damages?"
"Basically, The YSR Rythu Bharosa is exclusively for EWS farmers.??"
"To be honest, Can I get a subsidy for 4WD Tractor if I own 1 bigha 4 biswa? please."
"Basically, The cooperative society meeting is at noon. please."
"Hello, The road to the farm is in bad condition.."
"Actually, I will come back next week to check. right now."
My application was rejected due to missing documents. please.
"To be honest, Is there any government help available for us? please."
"Actually, My son is studying in the city college. immediately."
"Hello, The Grain Bins I bought last year is not working.."
"Sir, With 48,000 per year income, can I afford Tube well and Chickens???"
"Hello, I went to the bank to update my passbook. right now."
I need to withdraw money for household expenses. right now.
"To be honest, Can you help me fill out this form? please."
"Sir, Agriculture is the backbone of our economy. immediately."
"Sir, Water scarcity is a major issue in our village. right now."
"Actually, I am the head of a 15 members in Chilika. right now."
"To be honest, The road to the farm is in bad condition. please."
"Basically, The road to the farm is in bad condition.."
"To be honest, My family belongs to the Bhumihar community in Krishna. right now."
"Actually, I have attached my middle income certificate with the application. immediately."
"To be honest, I need 1 lakh from Sarkari Bank to buy Sprinkler Set for my Banjar farm.??"
"To be honest, I have attached my daily wage earner certificate with the application. immediately."
"Sir, Feeding Quails costs me 10k per month per year.."
Does the bank offer lower interest rates for below poverty line applicants? please.
"Sir, The village meeting is scheduled for next week.??"
"Sir, The village meeting is scheduled for next week. please."
The soil is very dry this year..
"Basically, To improve my Gram yield, I need a Reaper through the Tractor Subsidy. right now."
"Basically, I need to go to the market tomorrow morning."
"Actually, While Daljeet manages the accounts, I handle the Sheep. right now."
"Hello, Can you help me fill out this form? right now."
"To be honest, Before planting Black Pepper, we must test the soil.."
"Actually, The soil is very dry this year.??"
"Hello, The animals are grazing in the open field. immediately."
The fertilizer shop was closed today.
"Hello, The field needs to be plowed before the rains. right now."
"Sir, The SBI sanctioned ten lakhs for MOP purchase. immediately."
"Sir, With a family of 8 members, we are struggling as a daily wage earner household.."
"To be honest, My family is classified as low income in the government records.??"
"To be honest, My family belongs to the Yadav community in Madhubani.."
"Sir, We use Tube well and PVC Pipes for farming Rubber in the Rabi. please."
"Hello, Water scarcity is a major issue in our village. immediately."
"Hello, Thangboi from Tenali applied for Borewell Subsidy and PM-AASHA."
"Actually, As a below poverty line farmer, am I eligible for the Kisan Uday Yojana? please."
"Basically, My Honey Bees and Catla require a loan of 60000.."
"Basically, Does the bank offer lower interest rates for EWS applicants???"
"Basically, Does the bank offer lower interest rates for household income of 2 lakhs applicants???"
"Hello, Although I own 10000 sq ft, the soil quality is poor.."
"Hello, I have attached my no regular income certificate with the application.??"
"Basically, The weather has been very unpredictable lately. right now."
"To be honest, I have attached my EWS certificate with the application.??"
"Actually, The field needs to be plowed before the rains.??"
"To be honest, I want to ask about the interest rates. immediately."
"Basically, The fertilizer shop was closed today."
"Actually, My application was rejected because I am not considered average income. please."
The field needs to be plowed before the rains. right now.
"To be honest, We use Solar Pump and Sprinkler System for farming Horse Gram in the Zaid season. immediately."
"Hello, Under the Other Backward Class category, my application was accepted.."
"Actually, The soil is very dry this year. right now."
"Actually, Please update my status from APML to low income in the passbook."
"Sir, By the end of Kharif season, the Guava will be ready for harvest.??"
"Basically, Who is the current sarpanch of this area?."
"Actually, We use Sickle and Pipeline for farming Safflower in the Phalguna.."
"Hello, Agriculture is the backbone of our economy. right now."
"Sir, We struggle because our household income is only 96,000 per year. immediately."
"Sir, We need better electricity supply during the day. please."
"Sir, My 1 killa produces Maize, which earns me earning 10000 monthly annually.??"
"Hello, Is the office open on Saturdays?."
"To be honest, Is Fish covered under the insurance scheme? immediately."
"Actually, Is the office open on Saturdays? please."
"Basically, Please tell me the procedure to meet the officer. right now."
Can Village Bank provide a top-up on my existing 20 lakhs???
"Actually, Water scarcity is a major issue in our village.."
"Hello, My application was rejected due to missing documents. immediately."
"Hello, Harvesting season farming of Cloves requires Diesel Pump and reliable irrigation. immediately."
"Hello, Is there any special subsidy on JCB for small farmer income households? please."
"Sir, Who is the current sarpanch of this area? right now."
"Basically, The soil is very dry this year.??"
"Basically, Farming is hard work but it is honest work. immediately."
"To be honest, I will come back next week to check. please."
"Hello, I need to buy some seeds from the local shop.."
"Basically, The road to the farm is in bad condition.??"
"Basically, The animals are grazing in the open field. please."
"Sir, I grow Ginger and Sunflower on my 10000 sq ft of Jirayat land. right now."
"Actually, If the rain continues, my Niger Seed harvest will be delayed.."
The Starter was purchased using the subsidy from Mukhyamantri Krishi Udyog Yojana.
"Being from the Non-Reserved category, do I get extra benefits? please."
"Actually, I want to ask about the interest rates.??"
"Sir, The village meeting is scheduled for next week.??"
"To be honest, To improve my Fenugreek yield, I need a Combine Harvester through the Soil Health Card Scheme.."
"Basically, My 1 ghumaon produces Castor, which earns me 20,000 per month annually. please."
"Sir, We need better electricity supply during the day.."
"Sir, My application was rejected due to missing documents. right now."
"Hello, Agriculture is the backbone of our economy. please."
"To be honest, Bhadon farming of Bitter Gourd requires Thresher and reliable irrigation."
"To be honest, The soil is very dry this year. immediately."
"Basically, The fertilizer shop was closed today. immediately."
"Sir, Agriculture is the backbone of our economy. immediately."
"While Agnes manages the accounts, I handle the Meat birds."
"Sir, I need to go to the market tomorrow morning.??"
"Basically, My son is studying in the city college. right now."
"To be honest, The animals are grazing in the open field. please."
"Hello, I have attached my family income of 1 lakh certificate with the application.."
"To be honest, I have an account in the local branch. immediately."
"Actually, This season has been very difficult for us. immediately."
"To be honest, I need to buy some seeds from the local shop. please."
"Basically, Only below poverty line beneficiaries can apply for this payment status."
"Sir, Although I own 4 bighas, the soil quality is poor. please."
"Hello, My application was rejected due to missing documents. right now."
"To be honest, The village meeting is scheduled for next week.."
"Actually, Thank you for your help yesterday.."
"Actually, Please tell me the procedure to meet the officer. right now."
We are a EWS family living in Champaran.??
"To be honest, Because of the drought, Tomato cultivation on my 2 ghumaons has stopped.."
"Actually, Because of the drought, Banana cultivation on my 5 guntas has stopped. immediately."
"To be honest, To improve my Mango yield, I need a Tractor through the Soil Health Card Scheme."
"Hello, Can you help me fill out this form? immediately."
"Actually, Can I get a subsidy for Excavator if I own 1 bigha???"
"Actually, Who is the current sarpanch of this area???"
"To be honest, I will come back next week to check. right now."
I went to the bank to update my passbook.??
"Hello, The fertilizer shop was closed today. immediately."
"Basically, Should the bank approve my loan of 27,000, I will buy a Tractor.."
"Hello, I need to withdraw money for household expenses. right now."
"Hello, Should the bank approve my loan of two lakhs, I will buy a Power Sprayer. right now."
"Sir, Although I own 20 kathas, the soil quality is poor. please."
"Sir, The field needs to be plowed before the rains."
"Actually, My Honey Bees shed needs repair before the Kharif starts. right now."
"Basically, The soil is very dry this year.??"
"Actually, My Marwari shed needs repair before the Rabi season starts. immediately."
"Actually, I need to withdraw money for household expenses.."
The installments for the one lakh loan are becoming a burden. please.
"Hello, The weather has been very unpredictable lately.."
"Hello, I need to buy some seeds from the local shop.??"
"Basically, Government benefits for high income families have not reached me yet. right now."
"To be honest, Since I fall under the marginal farmer income group, I cannot pay high interest. please."
"To be honest, To improve my Pearl Millet yield, I need a HDPE Pipes through the Kisan Uday Yojana. please."
"Sir, Who is the current sarpanch of this area?"
"To be honest, My son is studying in the city college. right now."
"Hello, Can you help me fill out this form?."
"Sir, Wet season farming of Guava requires Grafts and reliable irrigation. right now."
"Basically, How do I apply for Godown Construction Subsidy online?."
"Basically, My family is classified as high income in the government records."
"Actually, The field needs to be plowed before the rains.??"
"To be honest, The bus service to the town is irregular. immediately."
"Actually, I have an account in the local branch. right now."
"Hello, Is there any government help available for us? immediately."
"Sir, Please update my status from APML to middle income in the passbook. please."
"Basically, My Pigs and Rohu require a loan of 95,000."
"To be honest, I belong to the below poverty line category and need financial help. please."
"Actually, I need to buy some seeds from the local shop.??"
"Hello, Agriculture is the backbone of our economy. immediately."
"Basically, If the rain continues, my Tomato harvest will be delayed."
"Basically, Water scarcity is a major issue in our village.."
"Sir, Agriculture is the backbone of our economy. right now."
"To be honest, My family is classified as meager income in the government records.??"
"Actually, My family belongs to the Savarna community in Jamshedpur.."
"Basically, I want to ask about the interest rates. please."
"Hello, Although I own 20 gunthas, the soil quality is poor.??"
"Sir, Is a family income of 2.5 lakhs per year eligible for this waiver? right now."
"Basically, Under the General category, my application was accepted.??"
"Sir, Farming is hard work but it is honest work. right now."
"Hello, I grow Banana and Cloves on my 2 grounds of Upland land. immediately."
"Sir, I went to the bank to update my passbook."
"To be honest, I need a loan to buy more Silkworms. please."
"Hello, By the end of Rabi, the Guava will be ready for harvest. right now."
"Actually, My son is studying in the city college. please."
"Sir, With Rs. 1.2 lakhs per year income, can I afford Warehouse and HF Cow???"
"To be honest, We use Micronutrients and High Yielding Variety Seeds for farming Rubber in the Phalguna."
"The Telangana Grameena Bank sanctioned 1,50,000 for Onion Chawl purchase. please."
"Basically, The Swine need vaccination urgently. please."
"Actually, We struggle because our household income is only 15k per month.."
"Actually, Unless I receive the Drip Irrigation Subsidy benefit, I cannot afford new seeds. immediately."
"To be honest, The cooperative society meeting is at noon. right now."
"Basically, We usually harvest in the early morning. immediately."
"Basically, Is a family income of Rs. 15000 pm eligible for this waiver?."
"Hello, The soil is very dry this year.."
"To be honest, The village meeting is scheduled for next week."
"Sir, The field needs to be plowed before the rains.."
I am planning to start Pangasius farming. please.
"Basically, Before planting Brinjal, we must test the soil. right now."
"To be honest, Our Sanamahi customs are strictly followed in the village. please."
"Actually, Late Kharif farming of Mustard requires Certified Seeds and reliable irrigation. immediately."
"Sir, The installments for the 1.5 lakhs loan are becoming a burden. immediately."
